bathrooms,bedrooms,city,homeStatus,homeType,latitude,livingArea,longitude,price,state,streetAddress,zipcode,zpid
4.0,6.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.63639,5000.0,-73.96463,2995000.0,NY,1320 Ditmas Ave,11226,30668937
2.0,3.0,Staten Island,FOR_SALE,TOWNHOUSE,40.562767,1354.0,-74.184586,515000.0,NY,224 Aspen Knolls Way,10312,32360402
2.0,2.0,New York,FOR_SALE,CONDO,40.744602,1693.0,-74.00578,999000.0,NY,459 W 18th St APT 1,10011,97527333
1.0,1.0,New York,FOR_SALE,CONDO,40.731194,0.0,-73.98693,385000.0,NY,226 E 12th St APT 1H,10003,244898726
4.0,6.0,Bronx,FOR_SALE,MULTI_FAMILY,40.81895,2477.0,-73.81196,779000.0,NY,248 Kearney Avenue,10465,29846644
3.0,6.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.69825,2042.0,-73.83224,915000.0,NY,8746 117th St,11418,32119673
3.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.55243,1512.0,-74.1795,749000.0,NY,75 Ludlow St,10312,32357982
1.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.57222,1036.0,-74.13408,699999.0,NY,62 Morton St,10306,32338457
3.0,3.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.614906,1800.0,-74.01474,1220000.0,NY,1243 86th St,11228,30711255
1.0,2.0,Staten Island,FOR_SALE,TOWNHOUSE,40.501694,1310.0,-74.23769,424000.0,NY,110 Surfside Plz #88,10307,32375323
2.0,2.0,Bronx,FOR_SALE,SINGLE_FAMILY,40.81741,960.0,-73.81231,550000.0,NY,204 Throggs Neck Boulevard,10465,2056746571
1.0,1.0,New York,FOR_SALE,CONDO,40.72398,0.0,-73.989525,350000.0,NY,50 E 1st St APT 14,10003,244706819
4.0,16.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.655903,0.0,-73.91604,500000.0,NY,494 E 96th St,11212,30653290
5.0,7.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.67127,0.0,-73.971695,12995000.0,NY,18 Prospect Park W #1,11215,2072572395
2.0,3.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.622948,1344.0,-74.015854,1200000.0,NY,7716 10th Ave,11228,30696601
3.0,6.0,Queens Village,FOR_SALE,MULTI_FAMILY,40.721977,,-73.743645,705000.0,NY,94-37 211th St,11428,444387659
2.0,3.0,Bronx,FOR_SALE,TOWNHOUSE,40.82223,1000.0,-73.87846,387000.0,NY,918 Wheeler Avenue #918C,10473,450807271
1.0,1.0,Forest Hills,FOR_SALE,CONDO,40.72772,,-73.84715,189000.0,NY,67-38 108 Street #D5,11375,2062999704
2.0,3.0,New York,FOR_SALE,CONDO,40.768272,1046.0,-73.95711,250000.0,NY,342 E 72nd St #1E,10021,450059920
2.0,4.0,Brooklyn,FOR_SALE,CONDO,40.67312,1782.0,-73.949554,699000.0,NY,848 Park Pl APT 4E,11216,352313131
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.550526,2350.0,-74.21687,830000.0,NY,25 Kunath Ave,10309,32372141
3.0,4.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.631916,2227.0,-74.078,819999.0,NY,67 Brewster St,10304,32284423
3.0,4.0,New York,FOR_SALE,CONDO,40.72628,0.0,-73.994,9495000.0,NY,21 Bond St,10012,31497946
3.0,4.0,Rosedale,FOR_SALE,MULTI_FAMILY,40.65616,1666.0,-73.73982,689999.0,NY,24519 147th Drive,11422,450224678
3.0,5.0,Flushing,FOR_SALE,SINGLE_FAMILY,40.72952,1701.0,-73.79004,1188000.0,NY,7343 179th Street,11366,32078648
11.0,10.0,New York,FOR_SALE,TOWNHOUSE,40.778748,9016.0,-73.961235,49000000.0,NY,9 E 82nd St APT 2,10028,450868256
4.0,4.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.6766,3176.0,-73.94042,1899000.0,NY,1447 Dean St,11213,30591230
2.0,2.0,Oakland Gardens,FOR_SALE,CONDO,40.743828,895.0,-73.7594,445000.0,NY,67-15 Bell Blvd #2,11364,450815007
1.0,3.0,Little Neck,FOR_SALE,CONDO,40.75905,960.0,-73.72316,415000.0,NY,60-46 Little Neck Parkway # 863,11362,248309664
2.0,3.0,Howard Beach,FOR_SALE,CONDO,40.665497,1250.0,-73.84491,345000.0,NY,155-25 89 Street #3,11414,2067265958
6.0,5.0,New York,FOR_SALE,CONDO,40.7662,7074.0,-73.981,59900000.0,NY,217 W 57th St #126,10019,338593841
